Environment,Sender_Node,Sender_MAC,Receiver_Node,Receiver_MAC,Timestamp,RSSI,LQI,Diff_RSSI
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:44.609,-79,56,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:44.708,-79,56,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:44.810,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:44.910,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.011,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.110,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.210,-79,56,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.311,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.410,-80,52,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.511,-80,52,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.611,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.713,-79,56,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.812,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:45.913,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.012,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.114,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.214,-80,52,-1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.313,-80,52,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.415,-80,52,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.516,-80,52,0
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.614,-79,56,1
lake,Node_C,A6:66:F7:7F:8F:C7:AC:A4,Node_A,AE:F7:83:9A:A9:52:C5:CD,2026-03-08 10:24:46.715,-80,52,-1
