Node_ID,MAC_Address,Timestamp,RSSI,LQI,Diff_RSSI
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.2309113,-52,164,-1
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.432309,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.531617,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.6331935,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.7343736,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.8352034,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801715.9331474,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.0344932,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.1337774,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.2353103,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.3354158,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.4345772,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.5363529,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.6376457,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.7381148,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.8364844,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801716.9373133,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.0384047,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.137784,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.2384048,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.3393552,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.438998,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.540148,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.6386573,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.7403042,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.8395772,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801717.9402056,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.0409796,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.1414986,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.2413936,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.3412118,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.4421713,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.5435514,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.642407,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.742397,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.8432457,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801718.9428895,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.0440707,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.1435962,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.2463055,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.3455129,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.4452326,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.5460613,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.64687,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.7460995,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.8460872,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801719.9470966,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.0476444,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.1471379,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.2467504,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.3488238,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.448503,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.549132,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.648086,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.749696,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.8487847,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801720.948417,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.0491898,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.1500494,-52,164,0
Node_C5CD,AE:F7:83:9A:A9:52:C5:CD,1772801721.2519028,-52,164,0
