Environment,Sender_Node,Sender_MAC,Receiver_Node,Receiver_MAC,Timestamp,RSSI,LQI,Diff_RSSI
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.591,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.690,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.791,-80,52,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.892,-79,56,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:46.992,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.092,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.193,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.292,-78,60,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.392,-77,64,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.493,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.592,-76,68,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.693,-77,64,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.794,-77,64,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.895,-79,56,-2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:47.995,-78,60,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.095,-79,56,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.195,-79,56,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.297,-80,52,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.397,-79,56,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.496,-78,60,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.597,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.698,-79,56,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.797,-78,60,1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.897,-78,60,0
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:48.996,-76,68,2
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.099,-77,64,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.199,-78,60,-1
forest,Node_B,66:3D:FF:91:0C:09:14:A5,Node_C,A6:66:F7:7F:8F:C7:AC:A4,2026-03-08 11:52:49.299,-78,60,0
